Name,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Pinnock,2.15902666666667,2.77090166666667,2.11209166666667,2.63833666666667,1.86100666666667,2.41871166666667,2.68032666666667,2.18969666666667,2.27083166666667,2.44566666666667,0.666666666666667,2.63467666666667,2.50524666666667,2.77321666666667,2.17610166666667,1.99499666666667,2.52558166666667,2.17080666666667,2.21219166666667,2.26143166666667,2.10075666666667,2.74440166666667,2.35574666666667,2.25631166666667,2.21352666666667,2.65462666666667,2.21671166666667,2.35666166666667,2.56692666666667,2.53856166666667,2.48348166666667
Wissa,3.16154,3.38545,3.21906,3.428095,3.210655,3.254755,3.39671,3.278995,3.450815,3.40178,1.5,3.43316,3.306525,3.71084,3.236215,3.21256,3.291555,3.444665,3.318245,3.277215,3.245025,3.38256,3.41564,3.4462,3.374485,3.297415,3.2028,3.42927,3.679665,3.37653,3.44476
Estupiñan,2.00799666666667,1.75293166666667,2.38754666666667,2.19177166666667,2.46920666666667,2.35286666666667,1.96405166666667,2.33944166666667,2.57747166666667,1.95350166666667,2.33012166666667,2.11869666666667,2.05725666666667,2.45063166666667,2.06146166666667,2.36217666666667,2.02365166666667,2.11185666666667,2.51427666666667,2.43123166666667,2.57962666666667,1.85502666666667,1.73026666666667,2.17025166666667,2.24954666666667,2.55279166666667,2.10310666666667,2.36114166666667,2.27464666666667,1.92476666666667,2.19091666666667
Ferguson,2.409965,2.09002,2.63158,2.370885,2.23361,2.347355,2.152035,2.20932,2.325265,2.179065,2.243095,2.22444,2.255295,2.37494,2.135105,2.280025,2.169895,2.39332,2.39716,2.504975,2.664035,2.14527,2.143285,2.15802,2.1892,2.322255,2.212585,2.31598,2.342265,2.11364,2.3567
Gross,2.43671833333333,2.23196833333333,2.62634333333333,2.44814333333333,2.43215333333333,2.64986833333333,2.37405833333333,2.58646333333333,2.53284833333333,2.32454833333333,2.43093833333333,2.51905833333333,2.41821833333333,2.53627833333333,2.41421833333333,2.46687833333333,2.42933333333333,2.52152333333333,2.63314333333333,2.55174833333333,2.67454833333333,2.29501833333333,2.28889833333333,2.47040833333333,2.47272333333333,2.45028833333333,2.45526833333333,2.55734333333333,2.47235833333333,2.35208333333333,2.59164333333333
March,3.638665,3.42492,3.83289,3.648545,3.632005,3.857225,3.571905,3.79163,3.73617,3.52069,3.63075,3.7219,3.61759,3.73972,3.613455,3.667925,3.629085,3.724455,3.83992,3.75572,3.882755,3.49014,3.48381,3.671575,3.67397,3.650765,3.655915,3.76151,3.673595,3.549175,3.796995
Mitoma,4.96871333333333,4.74595333333333,5.15371333333333,4.96946333333333,4.95293333333333,5.17803833333333,4.89286833333333,5.11247833333333,5.05704333333333,4.84167833333333,4.95167833333333,5.04278333333333,4.93852333333333,5.06059333333333,4.93438833333333,4.98883333333333,4.95001333333333,5.04533333333333,5.16074333333333,5.07658333333333,5.20355333333333,4.81114333333333,4.80481333333333,4.99248333333333,4.99487833333333,4.97168333333333,4.97682833333333,5.08236833333333,4.99450333333333,4.87014333333333,5.11783333333333
Al-Dakhil,1.26670166666667,1.30157666666667,1.40071166666667,1.40125166666667,1.18900666666667,1.44896166666667,1.45683666666667,1.39443666666667,1.23201166666667,1.48024666666667,1.43711666666667,1.22287666666667,1.24353666666667,1.46926666666667,1.08483666666667,1.41442666666667,1.07306666666667,1.34275666666667,1.38460166666667,1.49133166666667,1.24289166666667,1.38944666666667,1.19448666666667,1.44719166666667,1.31275166666667,1.26422666666667,1.27124666666667,1.22230166666667,1.37407666666667,1.22543666666667,1.51418666666667
Foster,2.65492833333333,2.62637333333333,2.70904333333333,2.69022333333333,2.63738833333333,2.73713833333333,2.66593333333333,2.66273833333333,2.65589833333333,2.75152833333333,2.80795333333333,2.74616833333333,2.70792833333333,2.72003833333333,2.59078333333333,2.87421333333333,2.61866333333333,2.64268833333333,2.67089833333333,2.74144833333333,2.67728333333333,2.65322333333333,2.62324333333333,2.73989833333333,2.73777833333333,2.74700333333333,2.74951833333333,2.59305333333333,2.74621833333333,2.63258833333333,2.89119833333333
Chilwell,2.009705,1.6598,1.76555,1.394075,1.195715,1.27775,1.481925,1.38697,1.59184,1.91819,1.77685,1.79229,1.43855,1.822135,1.048955,1.89634,1.75458,1.07562,1.505875,1.56652,1.73074,1.31155,2.045545,1.590835,1.49783,1.97121,1.408965,1.435065,1.90035,1.78134,1.996315
Chukwuemeka,0.503125,0.522815,0.544345,0.5146,0.489175,0.49998,0.521115,0.51342,0.51816,0.515135,0.53013,0.52171,0.51174,0.551895,0.48802,0.534845,0.514905,0.47724,0.531585,0.522375,0.537345,0.494765,0.534195,0.545325,0.532055,0.55318,0.51775,0.502625,0.53623,0.55635,0.569015
Enzo,3.01154166666667,3.01107666666667,3.11207166666667,2.97254666666667,2.85328166666667,2.90395166666667,3.00309666666667,2.96699666666667,2.98924666666667,2.97505166666667,3.04539166666667,3.00588666666667,2.95912666666667,3.14748666666667,2.84784666666667,3.06751166666667,2.97397666666667,2.79729666666667,3.05221666666667,3.00902166666667,3.07923666666667,2.87950166666667,3.06446666666667,3.11667666666667,3.05441166666667,3.15352166666667,2.98730666666667,2.91635666666667,3.07401666666667,3.16837666666667,3.22780166666667
