Name,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Chilwell,2.95076166666667,2.84610666666667,3.03141166666667,3.17637166666667,2.82646666666667,2.93221666666667,2.56074166666667,2.36238166666667,2.44441666666667,2.64859166666667,2.55363666666667,2.75850666666667,3.08485666666667,2.94351666666667,2.95895666666667,2.60521666666667,2.98880166666667,2.21562166666667,3.06300666666667,2.92124666666667,2.24228666666667,2.67254166666667,2.73318666666667,2.89740666666667,2.47821666666667,3.21221166666667,2.75750166666667,2.66449666666667,3.13787666666667,2.57563166666667,2.60173166666667,3.06701666666667,2.94800666666667,3.16298166666667
Chukwuemeka,0.00722,0.396075,0.49434,0.503125,0.522815,0.544345,0.5146,0.489175,0.49998,0.521115,0.51342,0.51816,0.515135,0.53013,0.52171,0.51174,0.551895,0.48802,0.534845,0.514905,0.47724,0.531585,0.522375,0.537345,0.494765,0.534195,0.545325,0.532055,0.55318,0.51775,0.502625,0.53623,0.55635,0.569015
Enzo,3.22016666666667,3.09734666666667,3.12372666666667,3.01154166666667,3.01107666666667,3.11207166666667,2.97254666666667,2.85328166666667,2.90395166666667,3.00309666666667,2.96699666666667,2.98924666666667,2.97505166666667,3.04539166666667,3.00588666666667,2.95912666666667,3.14748666666667,2.84784666666667,3.06751166666667,2.97397666666667,2.79729666666667,3.05221666666667,3.00902166666667,3.07923666666667,2.87950166666667,3.06446666666667,3.11667666666667,3.05441166666667,3.15352166666667,2.98730666666667,2.91635666666667,3.07401666666667,3.16837666666667,3.22780166666667
Gusto,4.78952666666667,4.72570166666667,4.81927166666667,4.88862666666667,4.68922166666667,4.75067666666667,4.53480166666667,4.41953166666667,4.46720666666667,4.58585666666667,4.53067666666667,4.64972666666667,4.83937666666667,4.75724166666667,4.76621666666667,4.56065166666667,4.78356166666667,4.33424666666667,4.82668166666667,4.74430166666667,4.34974166666667,4.59977166666667,4.63501666666667,4.73044666666667,4.48684666666667,4.91338666666667,4.64914666666667,4.59509666666667,4.87019166666667,4.54345666666667,4.55862166666667,4.82901166666667,4.75985166666667,4.88478166666667
James,1.369055,1.45963,1.6634,1.793115,1.486995,1.584055,1.24309,1.06102,1.13632,1.323725,1.23657,1.42461,1.72416,1.59443,1.6086,1.283915,1.635995,0.926315,1.704105,1.573985,0.95079,1.34571,1.401375,1.552105,1.167345,1.841055,1.42369,1.338325,1.772825,1.256755,1.280715,1.707785,1.59855,1.79587
Lukaku,0.708615,0.70577,0.77538,0.72516,0.663825,0.670935,0.657005,0.648305,0.637135,0.73424,0.63032,0.72801,0.679515,0.67736,0.695915,0.65018,0.79041,0.64878,0.726365,0.68158,0.628055,0.67118,0.64776,0.717845,0.661495,0.711895,0.722275,0.73573,0.74011,0.662045,0.70786,0.7336,0.7197,0.724775
N.Jackson,3.80401,3.791755,3.952615,3.687555,3.50511,3.530555,3.480705,3.449565,3.409575,3.757125,3.385195,3.734835,3.561265,3.55355,3.61995,3.43672,4.06445,3.44706,3.739955,3.573255,3.379715,3.54967,3.46569,3.755225,3.4923,3.677155,3.716895,3.763195,3.768055,3.53702,3.66272,3.73329,3.70508,3.743695
Sterling,5.87176333333333,5.79709333333333,5.86009833333333,5.74497333333333,5.77090833333333,5.87658833333333,5.73059833333333,5.60580333333333,5.65882333333333,5.76256333333333,5.72478833333333,5.74807333333333,5.73321833333333,5.80681333333333,5.76547833333333,5.71655333333333,5.91364333333333,5.60011333333333,5.82996333333333,5.73208833333333,5.54722333333333,5.81395833333333,5.76875833333333,5.84223333333333,5.63323833333333,5.82677333333333,5.88140333333333,5.81625333333333,5.91995833333333,5.74603833333333,5.67180333333333,5.83676833333333,5.93550333333333,5.99768333333333
C.Doucouré,2.307335,2.476415,2.390485,2.54443,2.38095,2.470685,2.43373,2.532,2.414345,2.416495,2.57696,2.43705,2.316395,2.440955,2.39276,2.506915,2.36615,2.42398,2.4314,2.436405,2.432575,2.4781,2.422465,2.45074,2.48704,2.54099,2.491265,2.35028,2.34699,2.48388,2.488255,2.5097,2.466555,2.44559
Edouard,5.37691833333333,5.56274333333333,5.17934833333333,5.57431333333333,5.18113833333333,5.25865833333333,5.32708833333333,5.37949333333333,5.19615833333333,5.28024333333333,5.36601333333333,5.37232333333333,5.16461833333333,5.37344333333333,5.20800333333333,5.24807833333333,5.22691333333333,5.26507333333333,5.25165333333333,5.25035833333333,5.36110833333333,5.32919333333333,5.22049333333333,5.33739333333333,5.37238833333333,5.34464333333333,5.32269333333333,5.20326833333333,5.20187833333333,5.36025333333333,5.45491333333333,5.35118333333333,5.26080333333333,5.34108333333333
