Name,4_with_prob,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Mbeumo,7.29928333333333,7.29928333333333,7.69854333333333,7.68927833333333,7.34104833333333,7.51530833333333,7.25433333333333,7.53298833333333,7.11436833333333,7.41648833333333,7.43164333333333,7.37249333333333,7.49669333333333,7.41589333333333,4.33333333333333,7.52094833333333,7.34781833333333,7.74819833333333,7.34517833333333,7.12442833333333,7.47999833333333,7.38978333333333,7.32691333333333,7.38780333333333,7.17296333333333,7.37961833333333,7.61194333333333,7.40172333333333,7.24117833333333,7.34981333333333,7.32033833333333,7.37608833333333,7.66897333333333,7.55556333333333,7.54265333333333
Pinnock,3.00120166666667,3.00120166666667,3.66072166666667,3.50271666666667,3.15902666666667,3.77090166666667,3.11209166666667,3.63833666666667,2.86100666666667,3.41871166666667,3.68032666666667,3.18969666666667,3.27083166666667,3.44566666666667,1.66666666666667,3.63467666666667,3.50524666666667,3.77321666666667,3.17610166666667,2.99499666666667,3.52558166666667,3.17080666666667,3.21219166666667,3.26143166666667,3.10075666666667,3.74440166666667,3.35574666666667,3.25631166666667,3.21352666666667,3.65462666666667,3.21671166666667,3.35666166666667,3.56692666666667,3.53856166666667,3.48348166666667
Wissa,4.212845,4.212845,4.46459,4.39525,4.16154,4.38545,4.21906,4.428095,4.210655,4.254755,4.39671,4.278995,4.450815,4.40178,2.5,4.43316,4.306525,4.71084,4.236215,4.21256,4.291555,4.444665,4.318245,4.277215,4.245025,4.38256,4.41564,4.4462,4.374485,4.297415,4.2028,4.42927,4.679665,4.37653,4.44476
Estupiñan,3.60773333333333,3.60773333333333,4.12690833333333,3.68345833333333,3.67466333333333,3.41959833333333,4.05421333333333,3.85843833333333,4.13587333333333,4.01953333333333,3.63071833333333,4.00610833333333,4.24413833333333,3.62016833333333,3.99678833333333,3.78536333333333,3.72392333333333,4.11729833333333,3.72812833333333,4.02884333333333,3.69031833333333,3.77852333333333,4.18094333333333,4.09789833333333,4.24629333333333,3.52169333333333,3.39693333333333,3.83691833333333,3.91621333333333,4.21945833333333,3.76977333333333,4.02780833333333,3.94131333333333,3.59143333333333,3.85758333333333
Ferguson,4.72317833333333,4.47317833333333,5.07210833333333,5.13580833333333,5.24329833333333,4.92335333333333,5.46491333333333,5.20421833333333,5.06694333333333,5.18068833333333,4.98536833333333,5.04265333333333,5.15859833333333,5.01239833333333,5.07642833333333,5.05777333333333,5.08862833333333,5.20827333333333,4.96843833333333,5.11335833333333,5.00322833333333,5.22665333333333,5.23049333333333,5.33830833333333,5.49736833333333,4.97860333333333,4.97661833333333,4.99135333333333,5.02253333333333,5.15558833333333,5.04591833333333,5.14931333333333,5.17559833333333,4.94697333333333,5.19003333333333
Gross,4.31916833333333,4.31916833333333,4.63636333333333,4.32430333333333,4.43671833333333,4.23196833333333,4.62634333333333,4.44814333333333,4.43215333333333,4.64986833333333,4.37405833333333,4.58646333333333,4.53284833333333,4.32454833333333,4.43093833333333,4.51905833333333,4.41821833333333,4.53627833333333,4.41421833333333,4.46687833333333,4.42933333333333,4.52152333333333,4.63314333333333,4.55174833333333,4.67454833333333,4.29501833333333,4.28889833333333,4.47040833333333,4.47272333333333,4.45028833333333,4.45526833333333,4.55734333333333,4.47235833333333,4.35208333333333,4.59164333333333
March,5.39630833333333,5.39630833333333,5.70208333333333,5.34515333333333,5.47199833333333,5.25825333333333,5.66622333333333,5.48187833333333,5.46533833333333,5.69055833333333,5.40523833333333,5.62496333333333,5.56950333333333,5.35402333333333,5.46408333333333,5.55523333333333,5.45092333333333,5.57305333333333,5.44678833333333,5.50125833333333,5.46241833333333,5.55778833333333,5.67325333333333,5.58905333333333,5.71608833333333,5.32347333333333,5.31714333333333,5.50490833333333,5.50730333333333,5.48409833333333,5.48924833333333,5.59484333333333,5.50692833333333,5.38250833333333,5.63032833333333
Mitoma,5.10613,5.10613,5.398395,5.02105,5.13538,4.91262,5.32038,5.13613,5.1196,5.344705,5.059535,5.279145,5.22371,5.008345,5.118345,5.20945,5.10519,5.22726,5.101055,5.1555,5.11668,5.212,5.32741,5.24325,5.37022,4.97781,4.97148,5.15915,5.161545,5.13835,5.143495,5.249035,5.16117,5.03681,5.2845
Al-Dakhil,1.83678,1.83678,1.71007,3.12077,1.70007,1.76982,1.96809,1.96917,1.54468,2.06459,2.08034,1.95554,1.63069,2.12716,2.0409,1.61242,1.65374,2.1052,1.33634,1.99552,1.3128,1.85218,1.93587,2.14933,1.65245,1.94556,1.55564,2.06105,1.79217,1.69512,1.70916,1.61127,1.91482,1.61754,2.19504
Foster,2.30293,2.30293,2.30999,4.12425,2.14319,2.08608,2.25142,2.21378,2.10811,2.30761,2.1652,2.15881,2.14513,2.33639,2.44924,2.32567,2.24919,2.27341,2.0149,2.58176,2.07066,2.11871,2.17513,2.31623,2.1879,2.13978,2.07982,2.31313,2.30889,2.32734,2.33237,2.01944,2.32577,2.09851,2.61573
