Name,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Lukić,0.766,0.806825,0.80406,0.818615,0.822665,0.858175,0.803195,0.84468,0.78439,0.87838,0.846465,0.79979,0.843845,0.849815,0.82919,0.805145,0.86829,0.823725,0.888675,0.829105,0.817095,0.827,0.83861,0.840485,0.841085,0.872365,0.8479,0.81591,0.82523,0.827765,0.828625,0.78588,0.814935
Alexander-Arnold,4.20997,3.726035,3.80148,4.537695,4.640565,3.824875,4.26247,3.33919,4.3382,3.904205,4.247795,4.028665,4.12096,4.598325,4.21589,4.296625,3.89043,3.65492,4.63717,3.99613,4.50441,4.283605,3.499905,4.03001,3.88292,4.46674,3.75585,4.29826,4.406965,3.818255,3.91497,3.82021,4.4375
A.Becker,4.12352666666667,3.98014666666667,4.07301166666667,4.07278666666667,4.21629666666667,4.10661666666667,3.92479666666667,3.71223166666667,4.15633666666667,4.05270666666667,4.01514666666667,4.08415166666667,3.89870166666667,4.08809166666667,3.94569166666667,3.98469666666667,4.10075666666667,3.94295666666667,3.97086166666667,4.00012666666667,3.98450666666667,4.13551666666667,3.93342666666667,4.18444166666667,3.98845666666667,3.98216166666667,3.96444166666667,4.12630666666667,4.10084166666667,3.82946666666667,3.98422666666667,3.92378166666667,3.93793166666667
Darwin,4.23898,4.05404,4.074185,4.217165,4.45903,3.979665,4.046925,3.938805,4.429615,4.21368,4.07753,4.18049,4.028685,4.149275,4.207965,4.143585,4.04988,4.0195,4.152005,4.00043,4.162625,4.172025,3.98887,4.19335,4.209325,4.068935,3.94273,4.111005,4.314875,4.08859,4.060625,4.14166,4.19702
Diogo J.,2.91782833333333,2.85920833333333,2.91405333333333,3.07945833333333,3.11098833333333,2.91275833333333,3.04391333333333,2.77397833333333,3.07428333333333,2.99446333333333,2.92548833333333,3.04785833333333,2.95730333333333,2.94021833333333,3.01575333333333,3.02173833333333,2.94401333333333,2.84447333333333,3.00308833333333,2.95553833333333,2.96432333333333,3.09219333333333,2.82198833333333,2.93858333333333,2.95046333333333,2.92641333333333,2.91950333333333,2.95285333333333,3.01747833333333,2.91580333333333,2.99258333333333,2.87607833333333,3.00569833333333
Gakpo,2.85067833333333,2.73288833333333,2.79123333333333,2.94365333333333,3.14584833333333,2.74510833333333,2.80133833333333,2.71095333333333,3.12125833333333,2.94074333333333,2.82692333333333,2.91299833333333,2.78609333333333,2.88690333333333,2.93596333333333,2.88214333333333,2.80380833333333,2.77841333333333,2.88918333333333,2.76246833333333,2.89806333333333,2.90591833333333,2.75280833333333,2.92374833333333,2.93710333333333,2.81973833333333,2.71423333333333,2.85490833333333,3.02533833333333,2.83616833333333,2.81279333333333,2.88053333333333,2.92681833333333
Luis Díaz,2.912065,2.85552,2.91444,3.10871,3.147615,2.903015,3.06485,2.731775,3.102325,3.003835,2.918725,3.06972,2.957985,2.936905,3.03011,3.03749,2.941585,2.818765,3.014475,2.95581,2.966645,3.12443,2.791015,2.93489,2.94954,2.919865,2.91134,2.952495,3.032235,2.906775,3.00152,2.85776,3.0177
Mac Allister,3.56263,3.508785,3.56502,3.78301,3.82695,3.550695,3.733475,3.35729,3.7758,3.664565,3.56844,3.738975,3.612775,3.58897,3.694235,3.702575,3.594255,3.45554,3.67658,3.61032,3.62256,3.800765,3.4242,3.58669,3.60324,3.569725,3.5601,3.606575,3.696635,3.55494,3.661945,3.49958,3.680225
Robertson,5.13909166666667,4.65348666666667,4.68971166666667,5.27337666666667,5.35178666666667,4.73005166666667,5.06359666666667,4.35984666666667,5.12131666666667,4.79051666666667,5.05240666666667,4.88538166666667,4.95573166666667,5.31959166666667,5.02809166666667,5.08963166666667,4.78001666666667,4.60050666666667,5.34920166666667,4.86058166666667,5.24800666666667,5.07970666666667,4.48235166666667,4.88640666666667,4.77429166666667,5.21929666666667,4.67743666666667,5.09087666666667,5.17373166666667,4.72500666666667,4.79872166666667,4.72649666666667,5.19700666666667
Salah,7.89370166666667,7.72326166666667,7.76319166666667,8.06867166666667,8.13776666666667,7.70335166666667,7.99077666666667,7.39922166666667,8.05732666666667,7.88240666666667,7.73125166666667,7.99942166666667,7.80097166666667,7.76353666666667,7.92907166666667,7.94218166666667,7.77184666666667,7.55371166666667,7.90130666666667,7.79711166666667,7.81636166666667,8.09658666666667,7.50443166666667,7.75995166666667,7.78597666666667,7.73327166666667,7.71813666666667,7.79122166666667,7.93284666666667,7.71002166666667,7.87829166666667,7.62297166666667,7.90703166666667
