ID,Name,Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18
369,Walker,MCI,,,,,,,,,,,,,,,,,,
370,Alex Telles,MUN,1,1,1,1,1,1,1,1,1,1,,,,,,,,
371,Amad,MUN,,1,1,1,1,1,1,1,1,1,,,,,,,,
372,Antony,MUN,,,,,,1,1,,,,,,,,,,,
373,B.Fernandes,MUN,,,,,,,,,,,,,,,,,,
374,B.Williams,MUN,1,1,1,1,1,1,1,1,1,1,,,,,,,,
375,Bailly,MUN,1,1,1,1,1,1,1,1,1,1,,,,,,,,
376,Casemiro,MUN,,,,,,,,,,0.5,,,,,,,,
377,Dalot,MUN,,,,,,,,,,,,,,,,,,
378,Elanga,NFO,,,,,0.5,0.5,,,,,,,,,,,,
379,Eriksen,MUN,,,,,,,,,,,,,,,,,,
380,Fernandez,MUN,,,,,,,,,,,,,,,,,,
381,Fred,MUN,,,,,,,,,,,,,,,,,,
382,Garnacho,MUN,,,,,,,,,,,,,,,,,,
383,Hannibal,MUN,,,,,,,,,,,,,,,,,,
384,Heaton,MUN,,1,1,1,1,1,,,,,,,,,,,,
385,Henderson,CRY,,1,,,,,,1,1,1,,,,,,,,
386,Lindelof,MUN,,,,,,,,,,,,,,,,,,
387,Maguire,MUN,,,,,,,0.5,,,,,,,,,,,
388,Mainoo,MUN,,1,1,1,1,1,1,1,1,0.5,,,,,,,,
389,Malacia,MUN,,1,1,1,1,1,1,1,1,1,,,,,,,,
390,Martial,MUN,,,,,,,,,,,,,,,,,,
391,Martinez,MUN,,,,,0.5,,0.5,1,1,1,,,,,,,,
392,McTominay,MUN,,,,,,,,,,,,,,,,,,
393,Mengi,LUT,,,,,,,,,,,,,,,,,,
394,Pellistri,MUN,,,,,,,,,,,,,,,,,,
395,R.Varane,MUN,,,,0.5,1,1,,,,,,,,,,,,
396,Rashford,MUN,,,,,,,,,,,,,,,,,,
397,Sancho,MUN,,,,,,1,1,1,1,1,,,,,,,,
398,Shaw,MUN,,,,1,1,1,1,1,1,1,,,,,,,,
399,Shoretire,MUN,,,,,,,,,,,,,,,,,,
400,Van de Beek,MUN,,,,,,,,,,,,,,,,,,
401,Wan-Bissaka,MUN,,,,,,,,1,1,1,,,,,,,,
402,Almirón,NEW,,,,,,,,,,,,,,,,,,
403,Anderson,NEW,,,,,0.5,,,,,,,,,,,,,
404,Ashby,NEW,,,,,,,,,,,,,,,,,,
405,Botman,NEW,,,,0.5,0.5,,,1,1,1,,,,,,,,
406,Bruno G.,NEW,,,,,,,,,,,,,,,,,,
407,Burn,NEW,,,,,,,,,,,,,,,,,,
408,Darlow,NEW,,,,,,,,,,,,,,,,,,
409,Dubravka,NEW,,,,,,,,,,,,,,,,,,
410,Fraser,NEW,,,,,,,,,,,,,,,,,,
411,Gillespie,NEW,,,,,,,,,,,,,,,,,,
412,Gordon,NEW,,,,,,,,1,,,,,,,,,,
413,Hayden,NEW,,,,,,,,,,,,,,,,,,
414,Hendrick,NEW,,,,,,,,,,,,,,,,,,
415,Isak,NEW,,,,,,,,,0.5,,,,,,,,,
416,Joelinton,NEW,,,0.5,,,1,1,0.5,0.5,0.5,,,,,,,,
417,Krafth,NEW,,1,1,1,1,1,1,1,1,0.5,,,,,,,,
418,Kuol,NEW,,,,,,,,,,,,,,,,,,
419,Lascelles,NEW,,,,,,,,,,,,,,,,,,
420,J.Lewis,NEW,,,,,,,,,,,,,,,,,,
421,Longstaff,NEW,,,,,,,,,,,,,,,,,,
422,Manquillo,NEW,,1,1,1,0.5,0.5,,,,,,,,,,,,
423,J.Murphy,NEW,,,,,,,,,,,,,,,,,,
424,Pope,NEW,,,,,,,,,,,,,,,,,,
425,Ritchie,NEW,,,,,,,,,,,,,,,,,,
426,Saint-Maximin,NEW,,,,,,,,,,,,,,,,,,
427,Schär,NEW,,,,,,,,,,,,,,,,,,
428,Targett,NEW,,,,,,,,,,,,,,,,,,
429,Tonali,NEW,,,,,,,,,,,,,,,,,,
430,Trippier,NEW,,,,,,,,,,,,,,,,,,
